region,BA.1*,BA.2*,Delta,None,others,in_program,not_in_program,sequences,cases,proportion_sequenced
0,5487,3073,19,38,0,8617,0,8617,517510,0.017
1,1385,584,10,6,0,1985,0,1985,74382,0.027
2,941,555,4,15,0,1515,0,1515,91550,0.017
3,1386,740,2,14,0,2142,0,2142,100737,0.021
4,180,160,0,0,0,340,0,340,60537,0.006
5,1078,780,3,2,0,1863,0,1863,156739,0.012
6,438,232,0,1,0,671,0,671,33565,0.020
