region,BA.1*,BA.2*,Delta,None,others,in_program,not_in_program,sequences,cases,proportion_sequenced
0,847,4420,4,13,8,5292,0,5292,561374,0.009
1,196,1001,1,3,0,1201,0,1201,71868,0.017
2,157,738,0,0,4,899,0,899,92048,0.010
3,193,1028,2,5,2,1230,0,1230,122942,0.010
4,50,205,0,2,0,257,0,257,52159,0.005
5,165,1012,1,2,0,1180,0,1180,186000,0.006
6,81,383,0,1,2,467,0,467,36357,0.013
