,date,division,pangolinLineage,submittingLab,count
25135,2021-01-04,Basel-Land,B.1.258,"Department of Biosystems Science and Engineering, ETH Zürich",5
25136,2020-12-13,Bern,B.1.177.28,"Department of Biosystems Science and Engineering, ETH Zürich",1
25137,2021-06-08,Ticino,C.36.3,Laboratorio di Microbiologia,2
25138,2020-06-08,Vaud,B.1.1,"Department of Biosystems Science and Engineering, ETH Zürich",1
25139,2021-09-13,Graubünden,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",4
25140,2021-09-18,Sankt Gallen,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",3
25141,2020-11-08,Basel-Stadt,B.1.1.70,"Department of Biosystems Science and Engineering, ETH Zürich",1
25142,2021-02-23,Sankt Gallen,B.1.351,Center for Laboratory Medicine St. Gallen,1
25143,2020-10-28,Bern,B.1.367,Swiss National Reference Centre for Influenza,1
25144,2021-01-28,Aargau,B.1.177.81,"Department of Biosystems Science and Engineering, ETH Zürich",1
25145,2021-01-21,Basel-Stadt,B.1.214.2,Clinical Bacteriology,1
25146,2020-03-21,Basel-Stadt,B.1.1,"University Hospital Basel, Clinical Bacteriology",1
25147,2021-01-25,Vaud,B.1.1.7,Laboratory of genomics and metagenomics,5
25148,2021-08-23,Bern,AY.5,SRO AG,2
25149,2020-11-24,Lucerne,B.1.160.19,Clinical Bacteriology,1
25150,2020-09-30,Bern,B.1.416.1,"University Hospital Basel, Clinical Bacteriology",1
25151,2020-04-01,Basel-Stadt,B.1.93,"Department of Biosystems Science and Engineering, ETH Zürich",1
25152,2020-08-20,Basel-Stadt,B.1.177,"University Hospital Basel, Clinical Bacteriology",3
25153,2020-03-23,Geneva,B.1,University Hospitals of Geneva Laboratory of Virology,1
25154,2020-11-21,Bern,B.1.177.44,"Department of Biosystems Science and Engineering, ETH Zürich",1
25155,2021-08-15,Geneva,B.1.617.2,"HUG, Laboratory of Virology and the Health2030 Genome Center",38
25156,2020-12-30,Solothurn,B.1.160.16,"Department of Biosystems Science and Engineering, ETH Zürich",2
25157,2021-01-12,Zürich,B.1.160.32,"Department of Biosystems Science and Engineering, ETH Zürich",1
25158,2021-03-05,Basel-Stadt,B.1.1.7,Clinical Bacteriology,5
25159,2021-02-22,Basel-Stadt,B.1.36.35,Clinical Bacteriology,1
25160,2020-12-16,Basel-Land,B.1.221,"Department of Biosystems Science and Engineering, ETH Zürich",5
25161,2021-01-27,Geneva,B.1.177,"HUG, Laboratory of Virology and the Health2030 Genome Center",5
25162,2021-07-27,Ticino,B.1.617.2,Laboratorio di Microbiologia,9
25163,2021-04-09,Valais,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",5
25164,2021-03-04,Basel-Land,B.1.160.11,"Department of Biosystems Science and Engineering, ETH Zürich",1
25165,2021-08-27,Valais,AY.4,"Valais Hospital, Central Institute",7
25166,2021-09-17,Aargau,B.1.617.2,Institute of Medical Virology,1
25167,2021-09-08,Vaud,AY.10,Laboratory of genomics and metagenomics,1
25168,2021-01-13,Solothurn,B.1.177,"Department of Biosystems Science and Engineering, ETH Zürich",4
25169,2021-03-18,Vaud,Q.1,"Department of Biosystems Science and Engineering, ETH Zürich",1
25170,2021-02-05,Schwyz,L.3,"Department of Biosystems Science and Engineering, ETH Zürich",2
25171,2020-11-12,Bern,B.1.160.14,"Department of Biosystems Science and Engineering, ETH Zürich",6
25172,2021-09-29,Sankt Gallen,AY.4,Institute of Medical Virology,2
25173,2021-07-24,Fribourg,AY.33,"Microbiology, Dr. Risch",1
25174,2020-10-20,Switzerland,B.1.1.39,"Department of Biosystems Science and Engineering, ETH Zürich",3
25175,2021-08-23,Bern,AY.4,SRO AG,2
