,date,division,pangolinLineage,submittingLab,count
0,2021-01-16,Bern,B.1.160,"Department of Biosystems Science and Engineering, ETH Zürich",3
1,2021-08-02,Vaud,B.1.617.2,Laboratory of genomics and metagenomics,22
2,2021-09-24,Bern,B.1.617.2,"Institute for Infectious Diseases, University of Bern",11
3,2020-11-20,Basel-Stadt,B.1.160,"Department of Biosystems Science and Engineering, ETH Zürich",1
4,2020-11-17,Neuchâtel,B.1.160,"Department of Biosystems Science and Engineering, ETH Zürich",1
5,2021-09-27,Valais,AY.7.1,Genesupport,1
6,2020-12-16,Schaffhausen,B.1.177.44,"Department of Biosystems Science and Engineering, ETH Zürich",7
7,2020-11-24,Ticino,B.1.160.22,"Department of Biosystems Science and Engineering, ETH Zürich",1
8,2021-02-12,Vaud,B.1.160,"Department of Biosystems Science and Engineering, ETH Zürich",1
9,2020-03-06,Basel-Stadt,B.1,"University Hospital Basel, Clinical Bacteriology",4
10,2021-08-15,Olten,B.1.617.2,Institute for Infectious Diseases,2
11,2021-01-26,Vaud,B.1.258.17,Laboratory of genomics and metagenomics,3
12,2021-03-12,Zürich,B.1.177.51,"Department of Biosystems Science and Engineering, ETH Zürich",2
13,2021-09-04,Valais,B.1.617.2,"Valais Hospital, Central Institute",1
14,2020-12-16,Schwyz,B.1.177.62,"Department of Biosystems Science and Engineering, ETH Zürich",2
15,2021-05-12,Aargau,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",1
16,2021-01-08,Zürich,B.1.160.31,"Department of Biosystems Science and Engineering, ETH Zürich",2
17,2020-12-30,Schaffhausen,B.1.160.31,"Department of Biosystems Science and Engineering, ETH Zürich",1
18,2021-09-06,Vaud,AY.4,"HUG, Laboratory of Virology and the Health2030 Genome Center",1
19,2021-01-07,Solothurn,B.1.1.519,"Department of Biosystems Science and Engineering, ETH Zürich",1
20,2021-07-24,Zürich,B.1.617.2,Institute of Medical Virology,19
21,2021-01-12,Zürich,B.1,"University Hospital Basel, Clinical Bacteriology",1
22,2021-05-05,Bern,AZ.2.1,"Institute for Infectious Diseases, University of Bern, Switzerland",2
23,2020-11-07,Vaud,B.1.160.14,"Department of Biosystems Science and Engineering, ETH Zürich",2
24,2021-08-08,Solothurn,AY.5,"Department of Biosystems Science and Engineering, ETH Zürich",1
25,2020-10-28,Bern,B.1.177.52,"University Hospital Basel, Clinical Bacteriology",1
26,2021-05-12,Bern,B.1.351.3,Institute for Infectious Diseases,1
27,2021-03-05,Geneva,B.1.1.318,"Department of Biosystems Science and Engineering, ETH Zürich",1
28,2021-01-12,Bern,B.1.36,"Department of Biosystems Science and Engineering, ETH Zürich",1
29,2021-01-14,Zürich,B.1.258.17,"Institute of Medical Virology, University of Zurich",1
30,2021-08-26,Graubünden,AY.39,"Microbiology, Dr. Risch",1
31,2021-10-14,Appenzell Innerrhoden,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",1
32,2021-05-15,Bern,B.1.1.7,"Microbiology, Dr. Risch",1
33,2020-10-31,Basel-Stadt,B.1.160,"University Hospital Basel, Clinical Bacteriology",3
34,2020-08-23,Valais,B.1.177.31,"Department of Biosystems Science and Engineering, ETH Zürich",1
35,2021-05-29,Zürich,B.1.617.2,Institute of Medical Virology,1
36,2021-07-06,Thurgau,AY.9,"Microbiology, Dr. Risch",1
37,2021-06-23,Ticino,AZ.2,"Department of Biosystems Science and Engineering, ETH Zürich",1
38,2021-08-26,Lucerne,B.1.617.2,Clinical Bacteriology,2
39,2020-12-22,Aargau,B.1.160.32,"Department of Biosystems Science and Engineering, ETH Zürich",1
40,2021-07-09,Bern,B.1.617.2,Institute for Infectious Diseases,1
41,2021-01-11,Bern,B.1.177.44,"Department of Biosystems Science and Engineering, ETH Zürich",3
42,2021-09-12,Aargau,AY.23,"Department of Biosystems Science and Engineering, ETH Zürich",2
43,2020-09-02,Aargau,B.1.177,"Department of Biosystems Science and Engineering, ETH Zürich",2
44,2021-08-29,Graubünden,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",2
45,2021-02-05,Neuchâtel,B.1.1.7,"Genomics and Transcriptomics, Philip Morris International",5
46,2020-12-28,Solothurn,B.1.469,"Department of Biosystems Science and Engineering, ETH Zürich",1
47,2021-01-02,Solothurn,B.1.160.16,"Department of Biosystems Science and Engineering, ETH Zürich",1
48,2020-10-23,Basel-Stadt,B.1.177.43,"University Hospital Basel, Clinical Bacteriology",2
49,2021-02-22,Geneva,B.1.619,"HUG, Laboratory of Virology and the Health2030 Genome Center",1
50,2021-08-17,Bern,AY.4.3,"Department of Biosystems Science and Engineering, ETH Zürich",1
51,2021-09-05,Basel-Land,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",28
52,2021-07-23,Zürich,AY.5,Institute of Medical Virology,1
53,2021-01-08,Bern,B.1.160,"Department of Biosystems Science and Engineering, ETH Zürich",2
54,2020-12-23,Basel-Stadt,B.1.160,"University Hospital Basel, Clinical Bacteriology",1
55,2021-01-04,Basel-Land,B.1.160,"Department of Biosystems Science and Engineering, ETH Zürich",7
56,2020-12-30,Bern,B.1.177,"Department of Biosystems Science and Engineering, ETH Zürich",7
57,2021-01-22,Bern,B.1.2,"HUG, Laboratory of Virology and the Health2030 Genome Center",1
58,2021-07-08,Vaud,B.1.617.2,Genesupport,1
59,2021-05-08,Aargau,B.1.1.7,Institute of Medical Virology,1
60,2021-04-14,Vaud,B.1.620,Laboratory of genomics and metagenomics,1
61,2021-07-05,Bern,B.1.617.2,SRO AG,1
62,2021-08-09,Bern,AY.4,Institute for Infectious Diseases,3
63,2020-10-30,Bern,B.1.160.22,"Department of Biosystems Science and Engineering, ETH Zürich",2
64,2021-01-30,Neuchâtel,B.1.160.16,"Department of Biosystems Science and Engineering, ETH Zürich",1
65,2021-05-06,Schwyz,AZ.3,"Department of Biosystems Science and Engineering, ETH Zürich",1
66,2021-05-12,Lucerne,B.1.1.7,Viollier AG,1
67,2021-05-05,Geneva,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",2
68,2021-08-16,Sankt Gallen,AY.39,Center for Laboratory Medicine,1
69,2021-08-16,Lucerne,B.1.617.2,"HUG, Laboratory of Virology and the Health2030 Genome Center",1
70,2021-05-03,Basel-Stadt,B.1.617.2,Clinical Bacteriology,1
71,2021-10-08,Vaud,B.1.617.2,Laboratory of genomics and metagenomics,7
72,2021-01-14,Schaffhausen,B.1.258,"Department of Biosystems Science and Engineering, ETH Zürich",1
73,2021-08-19,Ticino,AY.9,Laboratorio di Microbiologia,3
74,2021-10-07,Zürich,AY.34,"Department of Biosystems Science and Engineering, ETH Zürich",1
75,2020-10-27,Basel-Stadt,B.1.160,"University Hospital Basel, Clinical Bacteriology",7
76,2021-08-28,Bern,B.1.617.2,Institute for Infectious Diseases,2
77,2021-09-29,Basel-Land,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",9
78,2021-10-04,Ticino,B.1.617.2,Laboratorio di Microbiologia,3
79,2021-08-15,Valais,B.1.617.2,"Valais Hospital, Central Institute",7
80,2021-01-27,,B.1.160,"HUG, Laboratory of Virology and the Health2030 Genome Center",1
81,2021-09-18,Appenzell Innerrhoden,AY.4,"Department of Biosystems Science and Engineering, ETH Zürich",1
82,2021-08-01,Ticino,AY.9,Laboratorio di Microbiologia,1
83,2021-03-02,Bern,B.1.177.62,"Department of Biosystems Science and Engineering, ETH Zürich",2
84,2021-02-08,Vaud,B.1.1,"Laboratory of genomics and metagenomics, Institute of Microbiology, University Hospital Centre and University of Lausanne, Switzerland",2
85,2021-05-09,Vaud,B.1.620,Laboratory of genomics and metagenomics,1
86,2020-12-23,Schaffhausen,B.1.258.17,"Department of Biosystems Science and Engineering, ETH Zürich",1
87,2021-01-14,Geneva,B.1.243,"HUG, Laboratory of Virology and the Health2030 Genome Center",2
88,2021-05-27,Schaffhausen,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",3
89,2021-10-14,Bern,AY.7.1,"Department of Biosystems Science and Engineering, ETH Zürich",2
90,2021-03-27,Vaud,B.1.1.7,"HUG, Laboratory of Virology and the Health2030 Genome Center",2
91,2020-12-13,Aargau,B.1.177.44,"Department of Biosystems Science and Engineering, ETH Zürich",1
92,2021-01-23,Graubünden,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",2
93,2020-08-10,Solothurn,B.1.236,"Department of Biosystems Science and Engineering, ETH Zürich",1
94,2021-08-02,Ticino,AY.6,Laboratorio di Microbiologia,1
95,2020-10-12,Bern,B.1.177,Swiss National Reference Centre for Influenza,1
96,2020-12-23,Bern,B.1.160.12,"Department of Biosystems Science and Engineering, ETH Zürich",1
97,2021-08-27,Zürich,B.1.617.2,Institute of Medical Virology,5
98,2021-04-06,Geneva,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",5
99,2021-09-12,Zürich,AY.4,Institute of Medical Virology,3
100,2021-08-17,Zürich,AY.4,"Department of Biosystems Science and Engineering, ETH Zürich",2
101,2020-11-12,Aargau,B.1.160,"Department of Biosystems Science and Engineering, ETH Zürich",5
102,2021-01-17,Bern,B.1.177,"Department of Biosystems Science and Engineering, ETH Zürich",1
103,2021-07-07,Graubünden,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",1
104,2021-06-05,Basel-Stadt,B.1.1.7,Clinical Bacteriology,4
105,2021-08-28,Ticino,AY.9,Laboratorio di Microbiologia,1
106,2021-02-17,Basel-Stadt,B.1.214.2,"Department of Biosystems Science and Engineering, ETH Zürich",1
107,2021-09-21,Aargau,B.1.617.2,Microbiology,1
108,2021-09-12,Valais,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",9
109,2021-10-03,Basel-Land,AY.33,"Department of Biosystems Science and Engineering, ETH Zürich",1
110,2021-09-14,Aargau,AY.23,"Department of Biosystems Science and Engineering, ETH Zürich",1
111,2021-08-21,Thurgau,AY.5,"Department of Biosystems Science and Engineering, ETH Zürich",2
112,2021-08-06,Aargau,,"Department of Biosystems Science and Engineering, ETH Zürich",1
113,2021-01-24,Solothurn,B.1.160.26,"Department of Biosystems Science and Engineering, ETH Zürich",1
114,2020-07-14,Vaud,B.1.1.47,"Department of Biosystems Science and Engineering, ETH Zürich",1
115,2020-12-30,Solothurn,B.1.160.22,"Department of Biosystems Science and Engineering, ETH Zürich",1
116,2021-01-18,Neuchâtel,B.1.258,"Department of Biosystems Science and Engineering, ETH Zürich",1
117,2020-11-24,Valais,B.1.160,"Department of Biosystems Science and Engineering, ETH Zürich",6
118,2020-08-14,Bern,B.1.146,"Department of Biosystems Science and Engineering, ETH Zürich",1
119,2020-04-12,Zürich,B.1,"Institute of Medical Virology, University of Zurich",1
120,2021-02-10,Solothurn,B.1.1.519,"Department of Biosystems Science and Engineering, ETH Zürich",1
121,2021-05-26,Zürich,B.1.576,"Department of Biosystems Science and Engineering, ETH Zürich",1
122,2021-08-11,Bern,AY.4,"Department of Biosystems Science and Engineering, ETH Zürich",5
123,2021-02-04,Valais,B.1.1.7,"HUG, Laboratory of Virology and the Health2030 Genome Center",5
124,2020-11-14,Basel-Stadt,B.1.160.20,"Department of Biosystems Science and Engineering, ETH Zürich",1
125,2021-05-03,Zürich,B.1.1.7,Clinical Bacteriology,1
126,2021-09-24,Vaud,B.1.617.2,Laboratory of genomics and metagenomics,2
127,2021-09-01,Ticino,B.1.617.2,Laboratorio di Microbiologia,6
128,2021-05-23,Zürich,B.1.1.318,Institute of Medical Virology,1
129,2021-01-10,Basel-Land,B.1.177,"Department of Biosystems Science and Engineering, ETH Zürich",4
130,2021-05-24,Basel-Land,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",8
131,2021-05-25,Geneva,AY.1,"HUG, Laboratory of Virology and the Health2030 Genome Center",1
132,2021-08-05,Thurgau,AY.9,"Department of Biosystems Science and Engineering, ETH Zürich",2
133,2021-03-06,Valais,B.1.1.7,"HUG, Laboratory of Virology and the Health2030 Genome Center",3
134,2021-01-10,Zürich,B.1.258,"Department of Biosystems Science and Engineering, ETH Zürich",1
135,2020-03-18,Geneva,B.1,University Hospitals of Geneva Laboratory of Virology,1
136,2021-10-17,Bern,B.1.617.2,Microbiology,2
137,2020-12-05,Basel-Land,B.1.221,"Department of Biosystems Science and Engineering, ETH Zürich",1
138,2021-01-19,Geneva,B.1.177.71,"HUG, Laboratory of Virology and the Health2030 Genome Center",1
139,2021-10-09,Bern,AY.7.1,Microbiology,2
140,2021-10-13,Vaud,AY.7.1,"Department of Biosystems Science and Engineering, ETH Zürich",1
141,2020-09-09,Bern,B.1.1.144,"Department of Biosystems Science and Engineering, ETH Zürich",1
142,2021-06-23,Basel-Stadt,P.1,"Department of Biosystems Science and Engineering, ETH Zürich",1
143,2021-07-27,Schaffhausen,AY.39,"Department of Biosystems Science and Engineering, ETH Zürich",1
144,2020-12-28,Solothurn,B.1.258,"Department of Biosystems Science and Engineering, ETH Zürich",1
145,2021-08-22,Sankt Gallen,B.1.617.2,Institute of Medical Virology,1
146,2021-04-25,Zürich,B.1.1.7,Viollier AG,1
147,2020-10-23,Graubünden,B.1.160.16,"Department of Biosystems Science and Engineering, ETH Zürich",1
148,2021-10-02,Appenzell Ausserrhoden,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",2
149,2021-06-08,Zürich,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",1
150,2021-07-31,Ticino,AY.34,"Department of Biosystems Science and Engineering, ETH Zürich",1
151,2021-08-04,Ticino,B.1.617.2,Synlab Bioggio,1
152,2021-04-01,Graubünden,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",3
153,2021-08-15,Vaud,AY.5,"Department of Biosystems Science and Engineering, ETH Zürich",1
154,2020-12-18,Solothurn,B.1.36.1,"Department of Biosystems Science and Engineering, ETH Zürich",1
155,2021-09-13,Bern,AY.5,Institute for Infectious Diseases,2
156,2021-04-07,Neuchâtel,B.1.619,"Genomics and Transcriptomics, Philip Morris International",4
157,2021-06-14,Sankt Gallen,Q.1,Center for Laboratory Medicine,2
158,2021-03-08,Solothurn,B.1.36.35,"Department of Biosystems Science and Engineering, ETH Zürich",3
159,2021-09-09,Geneva,AY.34,"HUG, Laboratory of Virology and the Health2030 Genome Center",2
160,2021-06-25,Geneva,B.1.1.7,"HUG, Laboratory of Virology and the Health2030 Genome Center",1
161,2021-02-01,Aargau,B.1.236,"Department of Biosystems Science and Engineering, ETH Zürich",1
162,2021-08-19,Schaffhausen,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",15
163,2021-02-04,Vaud,B.1.1.7,Clinical Bacteriology,4
164,2021-01-05,Schaffhausen,B.1.177,"Department of Biosystems Science and Engineering, ETH Zürich",2
165,2021-07-14,Basel-Land,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",8
166,2020-12-03,Schaffhausen,B.1.160,"Department of Biosystems Science and Engineering, ETH Zürich",1
167,2021-03-09,Zürich,B.1.1.7,Viollier AG,1
168,2021-08-02,Vaud,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",10
169,2020-10-31,Basel-Land,B.1.1.47,"Department of Biosystems Science and Engineering, ETH Zürich",1
170,2021-07-03,Aargau,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",2
171,2020-12-25,Geneva,B.1.177,"HUG, Laboratory of Virology and the Health2030 Genome Center",1
172,2021-07-29,Bern,B.1.617.2,"Microbiology, Dr. Risch",1
173,2021-10-01,Schwyz,AY.7.1,"Department of Biosystems Science and Engineering, ETH Zürich",1
174,2021-09-28,Zürich,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",15
175,2021-08-02,Sankt Gallen,AY.39,Institute of Medical Virology,1
176,2021-01-21,Schwyz,B.1.260,"Department of Biosystems Science and Engineering, ETH Zürich",1
177,2021-05-05,Basel-Land,,"Department of Biosystems Science and Engineering, ETH Zürich",2
178,2021-05-12,Solothurn,B.1.1.7,Viollier AG,6
179,2020-06-02,Zürich,B.1.1.464,"Department of Biosystems Science and Engineering, ETH Zürich",1
180,2021-02-01,Aargau,B.1.1.39,"Department of Biosystems Science and Engineering, ETH Zürich",5
181,2021-06-23,Basel-Stadt,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",1
182,2021-10-20,Graubünden,AY.4,Microbiology,2
183,2021-07-15,Valais,B.1.617.2,"HUG, Laboratory of Virology and the Health2030 Genome Center",1
184,2021-05-07,Lucerne,B.1.1.7,Clinical Bacteriology,1
185,2021-09-29,Solothurn,AY.6,"Department of Biosystems Science and Engineering, ETH Zürich",1
186,2021-07-20,Graubünden,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",1
187,2021-07-16,Solothurn,AY.4,"Department of Biosystems Science and Engineering, ETH Zürich",1
188,2021-09-21,Sankt Gallen,B.1.617.2,Microbiology,1
189,2021-05-17,Ticino,B.1.1.318,,1
190,2020-11-16,Solothurn,B.1.160.16,"Department of Biosystems Science and Engineering, ETH Zürich",3
191,2021-04-01,Thurgau,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",4
192,2021-05-19,Aargau,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",12
193,2020-11-12,Basel-Stadt,B.1.36.1,Clinical Bacteriology,1
194,2021-09-03,Aargau,AY.39,"Department of Biosystems Science and Engineering, ETH Zürich",1
195,2020-11-03,Neuchâtel,B.1.1.269,"Department of Biosystems Science and Engineering, ETH Zürich",1
196,2021-01-09,Aargau,B.1,"Department of Biosystems Science and Engineering, ETH Zürich",1
197,2021-04-10,Sankt Gallen,B.1.1.7,,1
198,2021-07-28,Zürich,B.1.617.2,Clinical Bacteriology,2
199,2021-09-24,Aargau,AY.4.2,Institute of Medical Virology,1
200,2021-08-05,Geneva,AY.39,"HUG, Laboratory of Virology and the Health2030 Genome Center",1
201,2021-01-25,Valais,B.1.1.7,"HUG, Laboratory of Virology and the Health2030 Genome Center",1
202,2021-03-02,Basel-Stadt,B.1.36.35,Clinical Bacteriology,1
203,2021-02-04,Basel-Stadt,B.1.1.70,"University Hospital Basel, Clinical Bacteriology",1
204,2021-02-23,Basel-Land,B.1.1.7,Clinical Bacteriology,2
205,2021-03-23,Aargau,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",19
206,2021-06-17,Bern,AY.21,"Department of Biosystems Science and Engineering, ETH Zürich",2
207,2021-05-14,Vaud,B.1.1.7,Laboratory of genomics and metagenomics,1
208,2021-02-01,Basel-Land,B.1.160.11,"Department of Biosystems Science and Engineering, ETH Zürich",4
209,2021-03-29,Zürich,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",20
210,2021-01-26,Schaffhausen,B.1.1.39,"Department of Biosystems Science and Engineering, ETH Zürich",1
211,2021-08-06,Solothurn,B.1.617.2,"Microbiology, Dr. Risch",2
212,2021-09-14,Basel-Land,AY.23,"Department of Biosystems Science and Engineering, ETH Zürich",1
213,2021-05-11,Basel-Land,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",1
214,2021-07-15,Vaud,AY.9,Laboratory of genomics and metagenomics,2
215,2021-04-19,Solothurn,AZ.2.1,"Department of Biosystems Science and Engineering, ETH Zürich",1
216,2021-04-13,Vaud,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",5
217,2021-02-05,Basel-Stadt,B.1.221,"University Hospital Basel, Clinical Bacteriology",4
218,2021-06-30,Vaud,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",1
219,2021-08-10,Bern,AY.33,"Department of Biosystems Science and Engineering, ETH Zürich",1
220,2021-02-12,Vaud,B.1.1.7,"HUG, Laboratory of Virology and the Health2030 Genome Center",1
221,2021-08-25,Geneva,AY.4,"HUG, Laboratory of Virology and the Health2030 Genome Center",2
222,2021-08-18,Vaud,AY.23,Laboratory of genomics and metagenomics,1
223,2021-04-29,Bern,B.1.1.7,"Institute for Infectious Diseases, University of Bern, Switzerland",2
224,2021-09-24,Lucerne,AY.39,Genesupport,2
225,2021-01-02,Schwyz,B.1.258,"Department of Biosystems Science and Engineering, ETH Zürich",1
226,2021-10-07,Schwyz,AY.4,"Department of Biosystems Science and Engineering, ETH Zürich",5
227,2020-11-03,Neuchâtel,B.1,"Department of Biosystems Science and Engineering, ETH Zürich",1
228,2021-05-27,Ticino,C.36.3,,1
229,2021-10-04,Basel-Stadt,AY.5,Clinical Bacteriology,1
230,2021-04-22,Ticino,B.1.1.7,,16
231,2021-01-08,Zürich,B.1.1.70,"Department of Biosystems Science and Engineering, ETH Zürich",1
232,2020-10-08,Zürich,B.1.160,"Department of Biosystems Science and Engineering, ETH Zürich",2
233,2021-02-01,Neuchâtel,B.1.177.85,"Department of Biosystems Science and Engineering, ETH Zürich",1
234,2021-01-21,Basel-Land,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",1
235,2021-06-20,Vaud,B.1.1.7,Laboratory of genomics and metagenomics,3
236,2021-08-03,Schwyz,AY.4,"Department of Biosystems Science and Engineering, ETH Zürich",1
237,2020-10-24,Solothurn,B.1.258,"University Hospital Basel, Clinical Bacteriology",1
238,2021-09-30,Lucerne,AY.4,Clinical Bacteriology,2
239,2020-11-08,Bern,B.1.160,"Department of Biosystems Science and Engineering, ETH Zürich",4
240,2021-01-27,Geneva,B.1.1.7,"HUG, Laboratory of Virology and the Health2030 Genome Center",21
241,2021-03-25,Neuchâtel,B.1.1.420,"Genomics and Transcriptomics, Philip Morris International",1
242,2021-01-30,Geneva,C.16,"HUG, Laboratory of Virology and the Health2030 Genome Center",1
243,2021-05-28,Basel-Stadt,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",5
244,2020-11-22,Basel-Land,B.1.1.70,"Department of Biosystems Science and Engineering, ETH Zürich",1
245,2021-09-18,Bern,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",1
246,2020-10-27,Aargau,B.1.177,"Department of Biosystems Science and Engineering, ETH Zürich",1
247,2021-07-29,Solothurn,AZ.2,Clinical Bacteriology,3
248,2020-12-24,Solothurn,B.1.258,"Department of Biosystems Science and Engineering, ETH Zürich",3
249,2021-01-20,Solothurn,B.1.1,"Department of Biosystems Science and Engineering, ETH Zürich",1
250,2020-11-01,Vaud,B.1.177.44,Laboratory of genomics and metagenomics,1
251,2021-01-02,Bern,B.1.177.77,"Department of Biosystems Science and Engineering, ETH Zürich",1
252,2021-09-07,Valais,AY.4,"Valais Hospital, Central Institute",10
253,2020-12-31,Bern,B.1.416,"Department of Biosystems Science and Engineering, ETH Zürich",1
254,2021-05-05,Zürich,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",16
255,2021-09-14,Vaud,AY.36,"Department of Biosystems Science and Engineering, ETH Zürich",1
256,2021-02-04,Graubünden,B.1.1.7,Clinical Bacteriology,7
257,2021-09-06,Sankt Gallen,B.1.617.2,Center for Laboratory Medicine,5
258,2021-02-03,Valais,B.1.160.14,"Department of Biosystems Science and Engineering, ETH Zürich",1
259,2021-07-12,Vaud,B.1.617.2,Laboratory of genomics and metagenomics,7
260,2021-01-21,Bern,B.1.160.14,"Department of Biosystems Science and Engineering, ETH Zürich",1
261,2020-11-18,Vaud,,"Department of Biosystems Science and Engineering, ETH Zürich",1
262,2021-07-01,Zürich,AY.9,Institute of Medical Virology,1
263,2020-11-12,Basel-Land,B.1.221,"Department of Biosystems Science and Engineering, ETH Zürich",5
264,2021-09-20,Valais,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",11
265,2021-07-10,Zürich,AY.9,"Department of Biosystems Science and Engineering, ETH Zürich",2
266,2021-06-16,Valais,B.1.1.7,"Valais Hospital, Central Institute",3
267,2021-01-11,Solothurn,B.1.160,"Department of Biosystems Science and Engineering, ETH Zürich",3
268,2021-01-13,Geneva,B.1.160,"HUG, Laboratory of Virology and the Health2030 Genome Center",9
269,2021-02-22,Neuchâtel,B.1.619,"Genomics and Transcriptomics, Philip Morris International",2
270,2021-08-30,Zürich,AY.6,"Department of Biosystems Science and Engineering, ETH Zürich",1
271,2020-12-10,Basel-Land,B.1.177.23,"Department of Biosystems Science and Engineering, ETH Zürich",1
272,2021-08-29,Geneva,AY.1,"HUG, Laboratory of Virology and the Health2030 Genome Center",1
273,2021-09-15,Ticino,AY.4,Laboratorio di Microbiologia,2
274,2021-01-02,Bern,B.1.1.391,"Department of Biosystems Science and Engineering, ETH Zürich",1
275,2021-03-25,Geneva,B.1.1.7,"HUG, Laboratory of Virology and the Health2030 Genome Center",38
276,2021-01-09,Zürich,B.1.1.39,"Department of Biosystems Science and Engineering, ETH Zürich",4
277,2021-08-10,Graubünden,AY.39,"Department of Biosystems Science and Engineering, ETH Zürich",1
278,2021-01-21,Basel-Stadt,B.1.1.338,"University Hospital Basel, Clinical Bacteriology",1
279,2021-09-23,Bern,AY.4,"Institute for Infectious Diseases, University of Bern",2
280,2021-09-14,Zürich,AY.5,Institute of Medical Virology,2
281,2020-04-27,Zürich,B.1,"Department of Biosystems Science and Engineering, ETH Zürich",2
282,2020-04-01,Uri,B.1.91,"Department of Biosystems Science and Engineering, ETH Zürich",1
283,2020-08-31,Basel-Stadt,B.1.258,"University Hospital Basel, Clinical Bacteriology",1
284,2020-12-29,Neuchâtel,B.1.160.29,"Department of Biosystems Science and Engineering, ETH Zürich",3
285,2021-01-18,Valais,B.1.1.7,"HUG, Laboratory of Virology and the Health2030 Genome Center",5
286,2020-03-26,Basel-Land,B.1.8,"University Hospital Basel, Clinical Bacteriology",1
287,2020-12-02,Sankt Gallen,B.1.1.39,"Department of Biosystems Science and Engineering, ETH Zürich",1
288,2020-12-22,Basel-Stadt,B.1.160.9,"University Hospital Basel, Clinical Bacteriology",1
289,2021-07-31,Ticino,AY.7.2,Laboratorio di Microbiologia,2
290,2021-09-27,Sankt Gallen,AY.4,"Department of Biosystems Science and Engineering, ETH Zürich",1
291,2021-08-21,Sankt Gallen,AY.5,"Microbiology, Dr. Risch",1
292,2021-02-11,Geneva,B.1.221,"HUG, Laboratory of Virology and the Health2030 Genome Center",1
293,2021-08-27,Graubünden,AY.39,"Microbiology, Dr. Risch",2
294,2020-12-21,,B.1.1.7,"University Hospital Basel, Clinical Bacteriology",2
295,2021-09-06,Basel-Land,AY.39,"Department of Biosystems Science and Engineering, ETH Zürich",1
296,2021-08-05,Vaud,AY.5,"Department of Biosystems Science and Engineering, ETH Zürich",1
297,2021-08-04,Bern,B.1.1.7,Institute for Infectious Diseases,1
298,2020-04-20,Geneva,B.1.93,"Department of Biosystems Science and Engineering, ETH Zürich",1
299,2021-10-08,Bern,AY.39,Microbiology,7
300,2020-12-23,Basel-Land,B.1.160.12,"University Hospital Basel, Clinical Bacteriology",1
301,2020-11-09,Lucerne,B.1.160,"Department of Biosystems Science and Engineering, ETH Zürich",2
302,2021-10-07,Sankt Gallen,AY.4,Center for Laboratory Medicine,2
303,2020-12-20,Solothurn,B.1.1.39,"Department of Biosystems Science and Engineering, ETH Zürich",2
304,2021-07-06,Zürich,AY.9,Institute of Medical Virology,4
305,2020-12-25,Bern,B.1.160.16,"Department of Biosystems Science and Engineering, ETH Zürich",4
306,2020-12-08,Sankt Gallen,B.1.1,"Department of Biosystems Science and Engineering, ETH Zürich",1
307,2020-11-30,Solothurn,B.1.1.39,"Department of Biosystems Science and Engineering, ETH Zürich",8
308,2021-08-04,Vaud,AY.4,Laboratory of genomics and metagenomics,4
309,2021-01-05,Lucerne,B.1.258.17,"Department of Biosystems Science and Engineering, ETH Zürich",1
310,2020-12-31,Zürich,B.1.221,"Department of Biosystems Science and Engineering, ETH Zürich",1
311,2021-06-30,Solothurn,AY.21,"Department of Biosystems Science and Engineering, ETH Zürich",1
312,2021-03-22,Aargau,B.1.1,"Department of Biosystems Science and Engineering, ETH Zürich",1
